Year,EPA,Section,System,Plant pop,No cobs,Wt of stalks,Yield of 10 m by 10 m)
2015,Chikwina,,,440,,,66
2015,Chikwina,,,518,,,20
2015,Zombwe,Doroba,,411,,,50
2015,Zombwe,Doroba,,527,,,33
2015,Zombwe,Choma,,468,,,110.5
2015,Zombwe,Choma,,510,,,72
2015,,,,506,,,110.5
2015,,,,418,,,72
2015,Chikwina,Honga,,520,,,110.5
2015,Chikwina,Honga,,478,,,72
2018,Chikwina,Chigwere,DBF,492,471,68,86
2018,Chikwina,Chigwere,CR,379,375,70,76
2018,Zombwe,Ekwaiweni 2,DBF,702,738,89.5,116
2018,Zombwe,Ekwaiweni 3,CR,599,473,52,68
2018,Chikwina,Chikwina,DBF,409,388,75,92
2018,Chikwina,Chikwina,CR,382,325,43,52
2018,Chikwina,Bula,DBF,440,480,91.5,86.5
2018,Chikwina,Bula,CR,468,429,51,68.5
2018,Chikwina,Bula,DBF,441,310,44,39
2018,Chikwina,Bula,CR,397,306,56,39
2018,Zombwe,Ekwaiweni 1,DBF,410,456,71,79
2018,Zombwe,Ekwaiweni 2,CR,418,390,48,51
2018,Emsizini,Malivenji,DBF,504,476,93,102
2018,Emsizini,Malivenji,CR,395,335,74,36
2018,Zombwe,Ekwaiweni 1,DBF,483,583,55,102
2018,Zombwe,Ekwaiweni 2,CR,362,299,31,39.2
2018,Chikangawa,Katowo,DBF,393,507,70,72
2018,Chikangawa,Katowo,CR,362,402,38,49
2018,Emsizini,Emsizini,DBF,486,497,53,97
2018,Emsizini,Emsizini,CR,365,344,45,47
2018,Zombwe,Ekwaiweni 2,DBF,693,660,88,102
2018,Zombwe,Ekwaiweni 3,CR,699,511,128,63
2019,Zombwe,Doroba,DBF,461,387,56.1,86.2
2019,Zombwe,Doroba,CR,152,102,24.5,23
2019,Bwengu,Enukweni,DBF,376,369,60,83
2019,Bwengu,Enukweni,CR,,,,
2019,Zombwe,Kasito,DBF,362,356,68,70
2019,Zombwe,Kasito,CR,250,150,28,49
2019,Zombwe,Ekwaiweni 1,DBF,364,486,75.2,112.5
2019,Zombwe,Ekwaiweni 2,CR,,,,
2019,Bwengu,Enukweni,DBF,386,381,52,73
2019,Bwengu,Enukweni,CR,420,416,21,35
2019,Emsizini,Emsizini,DBF,557,638,97.7,132.5
2019,Emsizini,Emsizini,CR,367,400,72.5,102
2019,Emsizini,Matuli,DBF,704,686,118,152.1
2019,Emsizini,Matuli,CR,507,437,76,100.5
2019,Emsizini,Kafulufulu,DBF,381,372,80.3,86.6
2019,Emsizini,Kafulufulu,CR,,,,
2019,Kavuzi,Kavuzi,DBF,432,329,79,47.5
2019,Kavuzi,Kavuzi,CR,251,118,30.5,11
2019,Chikwina,Kaulasisi,DBF,406,403,95,67
2019,Chikwina,Kaulasisi,CR,296,165,35,11
2019,Chikwina,Kaulasisi,DBF,487,485,110.5,80
2019,Chikwina,Kaulasisi,CR,538,300,80,30
2019,Emsizini,Chiwiri,DBF,438,546,72,110
2019,Emsizini,Chiwiri,CR,380,220,52,67
2019,Emsizini,Chiwiri,DBF,425,464,73.5,92.9
2019,Emsizini,Chiwiri,CR,297,230,34.5,25.5
2019,Emsizini,Chiwiri,DBF,521,538,64.5,88.7
2019,Emsizini,Chiwiri,CR,339,249,38,44
2019,Chikangawa,Katowo,DBF,450,466,78,84
2019,Chikangawa,Katowo,CR,,,,
2019,Chikangawa,Katowo,DBF,474,488,69,100
2019,Chikangawa,Katowo,CR,450,456,46,60
2019,Chikangawa,Katowo,DBF,418,482,63,90
2019,Chikangawa,Katowo,CR,496,451,59,73
2019,Chikangawa,Katowo,DBF,454,519,83,114
2019,Chikangawa,Katowo,CR,450,365,48,78.5
2019,Chikangawa,Katowo,DBF,423,514,114.5,123
